Years,Months,Average of Charging Time (hh:mm:ss),Average of Energy (kWh),Average of GHG Savings (kg),Sum of Gasoline Savings (gallons)
2011,7,0.098697274,8.048585889,3.380444444,9.091
2011,8,0.073523369,5.69361436,2.391301471,97.178
2011,9,0.086560396,6.917640136,2.905420455,152.797
2011,10,0.080148782,6.662497909,2.798236486,247.504
2011,11,0.083048671,6.699859164,2.81396463,261.498
2011,12,0.083137408,6.478474914,2.720976945,282.134
2012,1,0.082701606,6.465077788,2.715340625,259.63
2012,2,0.078881663,6.46348198,2.714672316,287.156
2012,3,0.085531757,6.726264672,2.825025194,435.563
2012,4,0.090994821,6.923510036,2.907880455,457.911
2012,5,0.088394693,6.399264762,2.687658291,479.458
2012,6,0.085386928,6.644890814,2.790866319,480.336
2012,7,0.08977816,6.84653134,2.875567718,463.131
2012,8,0.088654574,6.729031316,2.826206597,486.428
2012,9,0.085092313,6.112354555,2.56718871,475.608
2012,10,0.09120147,6.02470534,2.530373206,474.066
2012,11,0.090734406,6.460200778,2.713284024,548.068
2012,12,0.090557516,6.462871577,2.714399703,545.851
2013,1,0.093752569,6.935895732,2.9130625,682.438
2013,2,0.089800729,6.767029121,2.842173854,630.16
2013,3,0.081858417,6.87044315,2.885590465,705.316
2013,4,0.081917963,7.296345375,3.064454657,747.22
2013,5,0.078770096,7.094800389,2.979825275,810.257
2013,6,0.076847994,6.812519097,2.861254125,777.177
2013,7,0.081200804,7.181023411,3.016025612,809.272
2013,8,0.083189555,7.296206016,3.064413194,791.138
2013,9,0.087197539,7.477091409,3.140382653,735.684
2013,10,0.08689721,7.480744447,3.1419121,822.42
2013,11,0.078008925,6.792038651,2.852646635,709.195
2013,12,0.087515643,7.307316058,3.069070776,803.343
2014,1,0.08605917,7.105148557,2.984156484,831.962
2014,2,0.087106695,7.343646426,3.084322699,751.119
2014,3,0.081660745,7.030451443,2.952783063,760.543
2014,4,0.089722169,7.379686491,3.099465222,812.231
2014,5,0.078588526,6.796069864,2.854358011,771.861
2014,6,0.086701755,7.572088025,3.180263904,871.431
2014,7,0.089688528,7.388412039,3.103136226,918.913
2014,8,0.091339906,8.157627057,3.42619598,1018.664
2014,9,0.090911222,8.043828661,3.378408918,1064.016
2014,10,0.086606108,7.730570559,3.246845749,1106.974
2014,11,0.083683436,7.774979849,3.265497762,1089.938
2014,12,0.085872496,7.757681816,3.258221923,1083.623
2015,1,0.087733707,7.909371268,3.321930152,1435.344
